SYMBOL,brain,dorsal skin,retina,spleen
Bhlhe40,0.175,0.2965,0.4005,0.8952
Bhlhe41,0.76,0.0968,0.4727,0.9791
Bmal1,0.1774,0.9713,0.8356,0.9556
Ciart,0.2908,0.9765,0.3576,0.9719
Clock,0.2633,0.9839,0.8902,0.9387
Cry1,0.8881,0.0864,0.7791,0.7566
Cry2,0.2169,0.0949,0.2653,0.9896
Dbp,0.4565,0.1479,0.927,0.9896
Hlf,0.3546,0.08,0.5626,0.9846
Npas2,0.4221,,0.8573,0.9912
Nr1d1,0.4548,0.074,0.4475,0.98
Nr1d2,0.3362,0.2388,0.8252,0.9875
Per1,0.2818,0.2083,0.1077,0.9916
Per2,0.6281,0.2433,0.4207,0.7568
Per3,0.7921,0.1507,0.9833,0.9909
Tef,0.8133,0.1696,0.9748,0.9601
